,ColCode,ColDescr,ColType,DataValue,NoteRef,RowCode,RowDescr,RowType,TableID,Year
148,TOTCOMOUT,Total Commodity Output,Industry,767650,47,44RT,Retail trade,Commodity,47,1997
149,TOTII,Total Intermediate,Industry,76302,47,44RT,Retail trade,Commodity,47,1997
150,TOTFU,Total Final Uses (GDP),Industry,691348,47,44RT,Retail trade,Commodity,47,1997
151,51,Information,Industry,200,47,44RT,Retail trade,Commodity,47,1997
152,G,Government,Industry,154,47,44RT,Retail trade,Commodity,47,1997
153,11,"Agriculture, forestry, fishing, and hunting",Industry,166,47,44RT,Retail trade,Commodity,47,1997
154,6,"Educational services, health care, and social assistance",Industry,433,47,44RT,Retail trade,Commodity,47,1997
155,81,"Other services, except government",Industry,3191,47,48TW,Transportation and warehousing,Commodity,47,1997
156,22,Utilities,Industry,13507,47,48TW,Transportation and warehousing,Commodity,47,1997
157,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,7089,47,48TW,Transportation and warehousing,Commodity,47,1997
158,21,Mining,Industry,6245,47,48TW,Transportation and warehousing,Commodity,47,1997
159,PROF,Professional and business services,Industry,22035,47,48TW,Transportation and warehousing,Commodity,47,1997
160,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,13896,47,48TW,Transportation and warehousing,Commodity,47,1997
161,48TW,Transportation and warehousing,Industry,43893,47,48TW,Transportation and warehousing,Commodity,47,1997
162,42,Wholesale trade,Industry,25562,47,48TW,Transportation and warehousing,Commodity,47,1997
163,31G,Manufacturing,Industry,85657,47,48TW,Transportation and warehousing,Commodity,47,1997
164,F040,Exports of goods and services,Industry,58560,47,48TW,Transportation and warehousing,Commodity,47,1997
165,F030,Change in private inventories,Industry,1834,47,48TW,Transportation and warehousing,Commodity,47,1997
166,44RT,Retail trade,Industry,21543,47,48TW,Transportation and warehousing,Commodity,47,1997
167,F050,Imports of goods and services,Industry,-11754,47,48TW,Transportation and warehousing,Commodity,47,1997
168,F100,Government consumption expenditures and gross investment,Industry,1547,47,48TW,Transportation and warehousing,Commodity,47,1997
169,F020,Private fixed investment,Industry,16890,47,48TW,Transportation and warehousing,Commodity,47,1997
170,F010,Personal consumption expenditures,Industry,132842,47,48TW,Transportation and warehousing,Commodity,47,1997
171,23,Construction,Industry,11822,47,48TW,Transportation and warehousing,Commodity,47,1997
172,6,"Educational services, health care, and social assistance",Industry,9736,47,48TW,Transportation and warehousing,Commodity,47,1997
173,11,"Agriculture, forestry, fishing, and hunting",Industry,8006,47,48TW,Transportation and warehousing,Commodity,47,1997
174,G,Government,Industry,29745,47,48TW,Transportation and warehousing,Commodity,47,1997
175,51,Information,Industry,9240,47,48TW,Transportation and warehousing,Commodity,47,1997
176,TOTCOMOUT,Total Commodity Output,Industry,511087,47,48TW,Transportation and warehousing,Commodity,47,1997
177,TOTFU,Total Final Uses (GDP),Industry,199919,47,48TW,Transportation and warehousing,Commodity,47,1997
178,TOTII,Total Intermediate,Industry,311168,47,48TW,Transportation and warehousing,Commodity,47,1997
179,PROF,Professional and business services,Industry,38855,47,51,Information,Commodity,47,1997
180,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,5484,47,51,Information,Commodity,47,1997
181,21,Mining,Industry,249,47,51,Information,Commodity,47,1997
182,22,Utilities,Industry,887,47,51,Information,Commodity,47,1997
183,81,"Other services, except government",Industry,4068,47,51,Information,Commodity,47,1997
184,23,Construction,Industry,5698,47,51,Information,Commodity,47,1997
185,F010,Personal consumption expenditures,Industry,210682,47,51,Information,Commodity,47,1997
186,F040,Exports of goods and services,Industry,27622,47,51,Information,Commodity,47,1997
187,42,Wholesale trade,Industry,9434,47,51,Information,Commodity,47,1997
188,51,Information,Industry,117554,47,51,Information,Commodity,47,1997
189,TOTCOMOUT,Total Commodity Output,Industry,610871,47,51,Information,Commodity,47,1997
190,TOTII,Total Intermediate,Industry,298068,47,51,Information,Commodity,47,1997
191,TOTFU,Total Final Uses (GDP),Industry,312803,47,51,Information,Commodity,47,1997
192,48TW,Transportation and warehousing,Industry,8136,47,51,Information,Commodity,47,1997
193,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,25333,47,51,Information,Commodity,47,1997
194,31G,Manufacturing,Industry,16877,47,51,Information,Commodity,47,1997
195,F020,Private fixed investment,Industry,72655,47,51,Information,Commodity,47,1997
196,44RT,Retail trade,Industry,10035,47,51,Information,Commodity,47,1997
197,F030,Change in private inventories,Industry,1339,47,51,Information,Commodity,47,1997
198,F100,Government consumption expenditures and gross investment,Industry,4093,47,51,Information,Commodity,47,1997
199,F050,Imports of goods and services,Industry,-3588,47,51,Information,Commodity,47,1997
200,6,"Educational services, health care, and social assistance",Industry,11646,47,51,Information,Commodity,47,1997
201,G,Government,Industry,43257,47,51,Information,Commodity,47,1997
202,11,"Agriculture, forestry, fishing, and hunting",Industry,554,47,51,Information,Commodity,47,1997
203,F010,Personal consumption expenditures,Industry,997906,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
204,23,Construction,Industry,13,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
205,81,"Other services, except government",Industry,570,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
206,22,Utilities,Industry,98,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
207,21,Mining,Industry,0,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
208,TOTCOMOUT,Total Commodity Output,Industry,1036331,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
209,TOTFU,Total Final Uses (GDP),Industry,998571,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
210,TOTII,Total Intermediate,Industry,37760,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
211,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,3,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
212,51,Information,Industry,189,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
213,42,Wholesale trade,Industry,521,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
214,F040,Exports of goods and services,Industry,1786,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
215,F050,Imports of goods and services,Industry,-1121,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
216,48TW,Transportation and warehousing,Industry,22,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
217,44RT,Retail trade,Industry,5106,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
218,31G,Manufacturing,Industry,40,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
219,11,"Agriculture, forestry, fishing, and hunting",Industry,210,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
220,PROF,Professional and business services,Industry,870,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
221,G,Government,Industry,12773,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
222,6,"Educational services, health care, and social assistance",Industry,17001,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
223,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,343,47,6,"Educational services, health care, and social assistance",Commodity,47,1997
224,21,Mining,Industry,127,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
225,22,Utilities,Industry,2566,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
226,81,"Other services, except government",Industry,1876,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
227,23,Construction,Industry,1831,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
228,F010,Personal consumption expenditures,Industry,439030,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
229,F050,Imports of goods and services,Industry,-81,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
230,TOTII,Total Intermediate,Industry,134689,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
231,TOTFU,Total Final Uses (GDP),Industry,443353,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
232,F040,Exports of goods and services,Industry,2534,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
233,42,Wholesale trade,Industry,3456,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
234,44RT,Retail trade,Industry,3715,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
235,51,Information,Industry,13033,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
236,TOTCOMOUT,Total Commodity Output,Industry,578042,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
237,31G,Manufacturing,Industry,9744,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
238,F020,Private fixed investment,Industry,1870,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
239,48TW,Transportation and warehousing,Industry,7392,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
240,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,22889,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
241,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,16494,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
242,6,"Educational services, health care, and social assistance",Industry,10308,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
243,G,Government,Industry,9365,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
244,11,"Agriculture, forestry, fishing, and hunting",Industry,198,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
245,PROF,Professional and business services,Industry,31695,47,7,"Arts, entertainment, recreation, accommodation, and food services",Commodity,47,1997
246,23,Construction,Industry,10020,47,81,"Other services, except government",Commodity,47,1997
247,81,"Other services, except government",Industry,13489,47,81,"Other services, except government",Commodity,47,1997
248,22,Utilities,Industry,716,47,81,"Other services, except government",Commodity,47,1997
249,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,5231,47,81,"Other services, except government",Commodity,47,1997
250,21,Mining,Industry,230,47,81,"Other services, except government",Commodity,47,1997
251,PROF,Professional and business services,Industry,26467,47,81,"Other services, except government",Commodity,47,1997
252,48TW,Transportation and warehousing,Industry,2874,47,81,"Other services, except government",Commodity,47,1997
253,42,Wholesale trade,Industry,8275,47,81,"Other services, except government",Commodity,47,1997
254,F040,Exports of goods and services,Industry,439,47,81,"Other services, except government",Commodity,47,1997
255,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,21623,47,81,"Other services, except government",Commodity,47,1997
256,44RT,Retail trade,Industry,7962,47,81,"Other services, except government",Commodity,47,1997
257,F050,Imports of goods and services,Industry,-1188,47,81,"Other services, except government",Commodity,47,1997
258,F010,Personal consumption expenditures,Industry,295002,47,81,"Other services, except government",Commodity,47,1997
259,31G,Manufacturing,Industry,22888,47,81,"Other services, except government",Commodity,47,1997
260,G,Government,Industry,26778,47,81,"Other services, except government",Commodity,47,1997
261,11,"Agriculture, forestry, fishing, and hunting",Industry,960,47,81,"Other services, except government",Commodity,47,1997
262,6,"Educational services, health care, and social assistance",Industry,7890,47,81,"Other services, except government",Commodity,47,1997
263,TOTCOMOUT,Total Commodity Output,Industry,461335,47,81,"Other services, except government",Commodity,47,1997
264,TOTFU,Total Final Uses (GDP),Industry,294253,47,81,"Other services, except government",Commodity,47,1997
265,TOTII,Total Intermediate,Industry,167082,47,81,"Other services, except government",Commodity,47,1997
266,51,Information,Industry,11678,47,81,"Other services, except government",Commodity,47,1997
267,21,Mining,Industry,15236,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
268,22,Utilities,Industry,12383,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
269,81,"Other services, except government",Industry,40572,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
270,23,Construction,Industry,19678,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
271,F010,Personal consumption expenditures,Industry,1332051,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
272,F040,Exports of goods and services,Industry,42999,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
273,F050,Imports of goods and services,Industry,-5674,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
274,42,Wholesale trade,Industry,39535,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
275,51,Information,Industry,29851,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
276,FIRE,"Finance, insurance, real estate, rental, and leasing",Industry,417803,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
277,TOTCOMOUT,Total Commodity Output,Industry,2453544,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
278,TOTFU,Total Final Uses (GDP),Industry,1428665,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
279,TOTII,Total Intermediate,Industry,1024879,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
280,31G,Manufacturing,Industry,77365,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
281,F020,Private fixed investment,Industry,59288,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
282,44RT,Retail trade,Industry,66206,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
283,48TW,Transportation and warehousing,Industry,31787,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
284,6,"Educational services, health care, and social assistance",Industry,78351,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
285,11,"Agriculture, forestry, fishing, and hunting",Industry,13578,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
286,G,Government,Industry,33241,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
287,PROF,Professional and business services,Industry,116360,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
288,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,32933,47,FIRE,"Finance, insurance, real estate, rental, and leasing",Commodity,47,1997
289,F010,Personal consumption expenditures,Industry,41798,47,G,Government,Commodity,47,1997
290,23,Construction,Industry,41,47,G,Government,Commodity,47,1997
291,81,"Other services, except government",Industry,1292,47,G,Government,Commodity,47,1997
292,22,Utilities,Industry,490,47,G,Government,Commodity,47,1997
293,21,Mining,Industry,17,47,G,Government,Commodity,47,1997
294,7,"Arts, entertainment, recreation, accommodation, and food services",Industry,5658,47,G,Government,Commodity,47,1997
295,TOTII,Total Intermediate,Industry,62112,47,G,Government,Commodity,47,1997
296,TOTFU,Total Final Uses (GDP),Industry,1266433,47,G,Government,Commodity,47,1997
297,TOTCOMOUT,Total Commodity Output,Industry,1328544,47,G,Government,Commodity,47,1997
298,48TW,Transportation and warehousing,Industry,9415,47,G,Government,Commodity,47,1997
